family,n,m,alg,opt,ratio
gnp,16,27,7,7,1.000000
gnp,9,10,5,5,1.000000
gnp,16,82,3,3,1.000000
gnp,15,53,5,5,1.000000
gnp,7,9,4,4,1.000000
gnp,14,31,5,5,1.000000
gnp,9,18,4,4,1.000000
gnp,6,11,2,2,1.000000
gnp,12,31,4,4,1.000000
gnp,9,28,3,3,1.000000
gnp,7,5,5,5,1.000000
gnp,11,37,3,3,1.000000
gnp,6,10,3,3,1.000000
gnp,12,12,7,7,1.000000
gnp,16,54,5,5,1.000000
gnp,15,25,7,7,1.000000
gnp,6,8,2,2,1.000000
gnp,7,13,3,3,1.000000
gnp,12,16,6,6,1.000000
gnp,8,10,4,4,1.000000
gnp,16,48,5,5,1.000000
gnp,15,66,4,4,1.000000
gnp,8,7,5,5,1.000000
gnp,16,83,3,3,1.000000
gnp,16,43,6,6,1.000000
gnp,9,28,2,2,1.000000
gnp,12,23,6,6,1.000000
gnp,15,82,3,3,1.000000
gnp,9,19,3,3,1.000000
gnp,16,54,5,5,1.000000
gnp,8,12,4,4,1.000000
gnp,15,52,4,4,1.000000
gnp,11,16,6,6,1.000000
gnp,14,43,5,5,1.000000
gnp,7,4,5,5,1.000000
gnp,16,43,5,5,1.000000
gnp,12,28,4,4,1.000000
gnp,14,27,6,6,1.000000
gnp,16,82,3,3,1.000000
gnp,16,45,5,5,1.000000
gnp,12,16,6,6,1.000000
gnp,10,38,2,2,1.000000
gnp,14,70,3,3,1.000000
gnp,16,57,5,5,1.000000
gnp,8,12,3,3,1.000000
gnp,14,70,3,3,1.000000
gnp,15,48,5,5,1.000000
gnp,7,19,2,2,1.000000
gnp,9,6,6,6,1.000000
gnp,7,16,2,2,1.000000
gnp,14,74,3,3,1.000000
gnp,16,49,6,6,1.000000
gnp,10,26,3,3,1.000000
gnp,9,34,2,2,1.000000
gnp,10,17,5,5,1.000000
gnp,13,64,3,3,1.000000
gnp,7,8,3,3,1.000000
gnp,11,12,8,8,1.000000
gnp,15,23,7,7,1.000000
gnp,16,31,8,8,1.000000
gnp,6,11,2,2,1.000000
gnp,14,33,5,5,1.000000
gnp,9,23,3,3,1.000000
gnp,9,26,3,3,1.000000
gnp,9,4,7,7,1.000000
gnp,11,28,4,4,1.000000
gnp,6,7,3,3,1.000000
gnp,6,5,3,3,1.000000
gnp,7,7,4,4,1.000000
gnp,14,45,5,5,1.000000
gnp,8,10,4,4,1.000000
gnp,7,11,3,3,1.000000
gnp,6,9,3,3,1.000000
gnp,7,16,2,2,1.000000
gnp,8,12,3,3,1.000000
gnp,9,28,2,2,1.000000
gnp,8,9,4,4,1.000000
gnp,10,38,2,2,1.000000
gnp,10,25,4,4,1.000000
gnp,8,14,3,3,1.000000
gnp,6,8,3,3,1.000000
gnp,11,11,7,7,1.000000
gnp,14,72,3,3,1.000000
gnp,6,11,2,2,1.000000
gnp,8,3,6,6,1.000000
gnp,16,81,4,4,1.000000
gnp,7,17,3,3,1.000000
gnp,15,66,4,4,1.000000
gnp,12,38,3,3,1.000000
gnp,10,11,5,5,1.000000
gnp,9,13,5,5,1.000000
gnp,16,72,4,4,1.000000
gnp,11,41,3,3,1.000000
gnp,6,4,4,4,1.000000
gnp,7,14,3,3,1.000000
gnp,8,24,2,2,1.000000
gnp,9,16,4,4,1.000000
gnp,13,60,3,3,1.000000
gnp,15,91,3,3,1.000000
gnp,16,85,3,3,1.000000
gnp,16,16,8,8,1.000000
gnp,10,14,6,6,1.000000
gnp,14,24,7,7,1.000000
