Esperanza MILP-certified stress run: 30000 instances, seed=42, 529.2s

family                   count    worst     mean
gnp                      15000   1.2500   1.0000
regular                   3000   1.2500   1.0008
amplified                 2000   1.2121   1.0039
bipartite_gnp             6000   1.0000   1.0000
star                      2000   1.0000   1.0000
complete                  1000   1.0000   1.0000
complete_bipartite        1000   1.0000   1.0000

GLOBAL worst ratio: 1.250000  (family: gnp)
GLOBAL mean  ratio: 1.000352
